"artists","Count"
"Eryk Moczko, Kize",98
"Felipe Amorim",98
"Figo i Samogony",98
"MIÜ, DJ VaZee",98
"Michelle Maciel, Eden Muñoz",98
"Mohammad Faiz, Jaani",98
"OG Version, Furytto",98
"SIMONA, Mirela",98
"Saran, GTK",98
"Suzan & Freek, Claude",98
"j-hope, Gaeko, YOON MIRAE",98
"Andia, Deliric",97
"Aventura, Don Omar",97
"Dom Dolla",97
"IL'HAN",97
"Lava, ROPEX LATERIO",97
"Medi, Selina",97
"Megadrumz, Lady Du",97
"NMIXX",97
"Nickoog Clk, Gittobeatz",97
"Q' Lokura, Valentino Merlo",97
"Saad Lamjarred, Enesse",97
"Sarettii",97
"Sigma, Hawk",97
"Sonny Wern, Lyente, Quinten Circle, ZANA",97
"Tyler ICU, LeeMcKrazy, Tman Xpress, Visca, Ceeka RSA, Sjavasdadeejayj, Al xapo",97
"Abdul Hannan, Kaavish",96
"Brenno & Matheus, New Music Play",96
"DobleP, Lauty Gram, Gusty dj",96
"Enrique Iglesias, Maria Becerra",96
"Fantasia",96
"Galin, Dessita",96
"Gazo",96
"ITHAN NY, Ak4:20",96
"Ivan Greko, SNIK",96
"Kevin, S10",96
"Paolo Nutini",96
"Plutonio",96
"SAIKO",96
"Sara Siipola",96
"TURK, ZIAD ZAZA, Dabl De",96
"Y4ska",96
"pehmoaino, Lauri Haav",96
"tlinh, Trung Trần",96
"حمادة مجدي, Hassan Shakosh",96
"Averagekidluke, Turisti",95
"Bad Bunny, Bomba Estéreo",95
"Dj Agus Lima",95
"FRIENDLY THUG 52 NGG, Skryptonite",95
"Israel & Rodolffo, Mc Don Juan, João Gomes",95
"Jami Faltin",95
"Kizo, Bletka",95
"Madihu, Low G",95
"Maha Ftouni",95
"Melanie Thornton",95
"Nik Makino, Flow G",95
"Vishal Mishra, Manoj Muntashir",95
"dhruv",95
"詹雯婷",95
"Aliyah's Interlude",94
"Cup of Joe",94
"Eslam Kabonga, Kalosha",94
"Kerchak",94
"Lava, Paris Kalpos",94
"MBT, BM",94
"MONO, Onionn.",94
"Pritam, Arijit Singh",94
"Rasmus Seebach",94
"Rokas Yan, Monika LIU, Vaidas Baumila",94
"Sarettii, Asme",94
"Shi Shi",94
"Young Multi, Szpaku, Kubi Producent, Lucassi",94
"bamm",94
"Alok, The Chainsmokers, Mae Stephens",93
"Amenazzy",93
"Apache 207",93
"BE:FIRST",93
"Blacflaco",93
"Ebru Yaşar, Siyam",93
"Gobs, ICEKIID",93
"JC Reyes, The Rudeboyz",93
"Jyoti Nooran, Jaani, Bunny",93
"La Perversa, Lomiiel, OG DETRUYELO",93
"Luciano, Jazeek",93
"Luis Mexia, Grupo Firme",93
"Malik Montana",93
"Marso, MBT",93
"Omar Montes, Saiko, Tunvao",93
"Omer Adam, David Broza",93
"PC",93
"SHRTY",93
"The Beatles",93
"andreas odbjerg",93
"ניר כנען",93
"حوده بوده, اسلام كابونجا",93
"Amir Eid",92
"Ballinciaga, Arif Murakami",92
"DAVI, Joalin",92
"Dadi",92
"Fahimi",92
"KAESTYLE, Omah Lay",92
"Kleine John, DJ DYLVN",92
"MaWhoo, Deep Sen, KingTalkzin, Mthunzi",92
"Mc Daniel, DJ WN, Dj GM",92
"Owen, Asme",92
"Sara Siipola, Sexmane",92
"Uncle Waffles, Ice Beats Slide, Sbuda Maleather",92
"Zokush, RK",92
"moon tang",92
"CountryBeat, Félix, Léo Souzza",91
"Energy",91
"Fezeka Dlamini, Nomfundo Moh, Naledi",91
"Gheboasă, Alberto Guta",91
"Jairo Vera, Gino Mella, King Savagge, Chiko Alfa, Bayriton, Malito Malozo, Paolo Pimp",91
"Jere Klein, Taiko",91
"L.L. Junior, KKevin, Rytmus, Érdi Baba",91
"LIT killah, Milo j, RONNY J",91
"MADE, BARÉ, SHABAB, Azu, Bayor, Biggie68, Skandal",91
"MEAU",91
"Makhadzi Entertainment, Iyanya, Prince Benza",91
"The La Planta, Pushi",91
"Thullio Milionário",91
"Victor Cibrian, Gabito Ballesteros",91
"White Widow, BAHsick",91
"Y4ska, Dizzy",91
"elaggume, Fauna Music, Coco Palmer",91
"Arop, Lea Dali Lion",90
"Beathoven",90
"Kizz Daniel, Davido",90
"Luan Pereira, Murilo Huff",90
"Moldanazar",90
"NOUA UNSPE",90
"Område 69",90
"Phyno, Burna Boy",90
"Savi Kahlon",90
"Sidhu Moose Wala, Sunny Malton, Offgrid",90
"Tony Effe, Emma, Takagi & Ketra",90
"Virgoun",90
"YENTED, BlackHeart, Williams",90
"Yener Çevik",90
"kouz1",90
"3enba, Essam Sasa",89
"BOWKYLION",89
"Brray, Jhayco, Ryan Castro",89
"DENIS TEOFIKOV, Dessita",89
"Gino Mella, Jairo Vera, Yandel, Lenny Tavárez, Best",89
"Háski, PATRi!K",89
"Ivan Greko, BeTaf Beats",89
"Jovani, Jurga",89
"Killorbeezbeatz",89
"LHAM, D Gerrard",89
"M6",89
"Nuricko",89
"Rohony, mdmx, Pavel Machát",89
"Salmo, Noyz Narcos",89
"Tayc, Shreya Ghoshal, Rajat Nagpal, Jacqueline Fernandez",89
"İzel",89
"Akshath",88
"Amir Jahari",88
"Antoon",88
"Bloody Hawk",88
"Emrah Karaduman, Merve Özbey",88
"Kidd Voodoo, Pablo Chill-E",88
"Kleo, Segah, Motive",88
"MamaRika, KOLA",88
"Mc IG, MC Ryan SP, Oruam, MC PH, Mc Poze do Rodo, MC GP, TrapLaudo, Mc Luki, MC GH do 7, MC Nego Micha, Murillo e LT no Beat",88
"Merveille",88
"Ozuna, Bad Gyal",88
"Pop Pongkool, Da Endorphine",88
"Q' Lokura",88
"Saucy Dog",88
"Strat, DIFF, Ivan Greko",88
"TalkinToys",88
"Zoë Tauran, Jonna Fraser",88
"Adrian L Santos, Joaquin Medina",87
"Amy Macdonald, Speed Radio",87
"CA$HANOVA BULHAR",87
"De Mthuda, Da Muziqal Chef, Eemoh",87
"Don Bigg",87
"Dudy Oris",87
"Mawell",87
"Metejoor",87
"NewEra",87
"Pedro Suárez-Vértiz",87
"Peso Pluma, Natanael Cano",87
"Ricchi E Poveri",87
"Shimmi, SIMILIVINLIFE, GABRIELL",87
"Soolking, SCH",87
"Trannos",87
"AKDO, Gülşen, Murat Boz, Lvbel C5",86
"Anirudh Ravichander, Nikhita Gandhi",86
"Bedroom Audio",86
"Damas Gratis, Ke Personajes",86
"ECKO, Los Turros, DobleP, Cristian Di Marco",86
"Eagles",86
"HELLMERRY, Al James",86
"Kronkel Dom, Deemz",86
"Nina Chuba",86
"Paluch, Miroff, Poly",86
"RAFIK",86
"Robi, Aerozen, Tussin",86
"Tony Effe, Gaia",86
"Yves Berendse",86
"lucidrari, FITTO, Gard",86
"Aditya A",85
"Asme",85
"Blacha 2115, Venom Valentino",85
"DJ Kent, Thakzin, Mo-T, MÖRDA, Brenden Praise",85
"Highasakite, Hver gang vi møtes",85
"Isac Elliot, Averagekidluke, MD$",85
"Julianno Sosa, Guelo Star",85
"Le-one, VTR",85
"Luan Pereira, Mc Daniel",85
"Lucky Brown, Nes",85
"MONATIK",85
"Manal",85
"NCT 127",85
"Niilo, Antti",85
"Noah Kahan, Sam Fender",85
"Obito, RPT MCK",85
"Obito, VSTRA",85
"Shirin David",85
"Tedua, Annalisa",85
"The Script",85
"Tobias Rahim, ICEKIID",85
"Turisti, Sexmane",85
"AKDO, cakal",84
"Avraham Tal",84
"CLARA",84
"Dilsinho, Ana Castela",84
"Emilia, LUDMILLA, Zecca",84
"KAROL G, Cris Mj, Ryan Castro",84
"Kain, Ekhoe, Pogány Induló",84
"Khalil Harrison, Tyler ICU, LeeMcKrazy, Ceeka RSA",84
"Lidia, Azis",84
"Omer Adam, ShrekDiMC",84
"Rawayana, Monsieur Periné",84
"Sachin-Jigar, Varun Jain, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",84
"A-Lin",83
"Blacflaco, Cledos",83
"Clayton & Romário",83
"DJ Damyan, Emanuela",83
"Dionela, Jay R",83
"Eslam Kabonga, Hoda Boda",83
"Hassa1, Flack",83
"Icy Subzero",83
"Ivi Adamou",83
"Jaakko Kulta, Ellis",83
"Luis Miguel",83
"Zlatan, Asake",83
"Alisia, Toni Storaro",82
"Bayaan",82
"Calema",82
"DJ Lag, Mr Nation Thingz, K.C Driller",82
"Eladio Carrion, Sech",82
"Elton John",82
"Isabel Aaiún, Fernando Moreno",82
"Israel & Rodolffo, Mari Fernandez",82
"Jimin, Sofia Carson",82
"Luca Brassi10x, Crosso, Tisci",82
"Luciano, Gzuz",82
"Melisses",82
"The Game, 50 Cent",82
"ששון איפרם שאולוב, Odeya",82
"Artie 5ive, Rondodasosa",81
"Dehry, NTG",81
"El Villano, BM, Migrantes",81
"Kings of Leon",81
"Kizo, młody klakson, Mig",81
"ORO600, Pablo Chill-E, 0-600, Orodembow",81
"Omdat Het Kan, Average Rob",81
"RACK, Ortiz",81
"Romeo Santos",81
"Satra B.E.N.Z., Alduts Sherdley",81
"Sugarcane",81
"T. Danny",81
"Wizkid, Wande Coal",81
"Платина, Voskresenskii",81
"Alma Gov",80
"Amenazzy, NTG",80
"Ayo Maff",80
"Babasha, Hermenotis, Ministerul Manelelor",80
"Costi, Juuna Chill",80
"DA Uzi",80
"Dj VN Maestro, MC G DS",80
"Eleni Foureira, Beyond",80
"Ivete Sangalo, LUDMILLA",80
"JC Reyes, Pedro Calderon",80
"Luna Cristofanelli",80
"Megan Koffe",80
"Ninho, Ayra Starr",80
"Ninho, Niska",80
"Son Pascal",80
"НАВЕРНОЕ ПОЭТ, ЯКОРЪ, EVEN CUTE, Ernest Merkel",80
"Blaqbonez, Jeriq",79
"DENNIS, Ana Castela, Mc Gw",79
"DJ WN, MC Hariel, MC Ryan SP, MC Paulin da Capital, Mc Lipi, MC Vinny, Gabb MC, Mc Kadu, Mc Daniel, MC GH do 7, NOG, Love Funk",79
"Domiy",79
"Eva",79
"Eviatar Banai",79
"GloRilla",79
"Hotvibez",79
"LMEN PRALA",79
"MADE, Bayor, Rasa, Skandal, SHABAB, BARÉ",79
"Michelle Maciel, Eden Muñoz, Panter Bélico",79
"Qing Madi, Bnxn",79
"RACK, Oge",79
"RAVA, Johny Romano",79
"Sam Deep, Eemoh, Da Muziqal Chef",79
"Shiva",79
"Simba La Rue, FT Kings",79
"Zerrin Özer",79
"erobé, KXXMA, Lyfrix",79
"Aleshen",78
"Claude",78
"Daniel Caesar",78
"Ed Sheeran",78
"Fedez, Emis Killa",78
"HUGEL, Topic, Arash, Daecolm",78
"Haifa Wehbe",78
"J.Tajor",78
"Jere Klein, Axl Boore",78
"Jere Klein, El BAI, Dj Osar, Mateo on the Beatz",78
"Jere Klein, Lucky Brown, Adan La Amenaza",78
"Jessica Shy, Yardy",78
"Lamin, Gilli",78
"Mid9t, Officixl Rsa",78
"Mirella, Lauri Haav",78
"Museqar FM",78
"Nilo, Nuricko",78
"Omar Montes",78
"Omar Montes, Lola Indigo, Las Chuches",78
"Papera, Chucky73",78
"Robin Packalen, Tupe.",78
"Rune Rask, TOOMANYLEFTHANDS, Suspekt, Benjamin Hav",78
"SCH",78
"Sin Laurent, Oge, RACK",78
"TUULI",78
"The Beach Boys",78
"Thor Farlov, Kundo",78
"UZI, Mavi",78
"nublu, maria kallastu",78
"APON",77
"Alan Murin",77
"Becky G, Omega",77
"Benjamin, BESS",77
"Cyril Kamer",77
"Dizzy DROS",77
"Ella Langley, Riley Green",77
"Frayer Flexking, Separ",77
"GENZIE",77
"Green Montana, SDM",77
"Isac Elliot, william",77
"Kris Kross Amsterdam, INNA",77
"L'Entourloop, Azahriah",77
"Luan Santana, MC Kevin o Chris",77
"Mabel Matiz, Melike Şahin",77
"Niclov, Baron",77
"Pilvi Hämäläinen",77
"Rubby",77
"Sam Smith",77
"Sfera Ebbasta, Lazza, Shiva",77
"Bayhan",76
"David Carreira, Juliette",76
"Donaty",76
"ElGrandeToto, Beny Jr",76
"Elodie",76
"Hoda Bondok",76
"Lost Frequencies, Bastille",76
"Noah Carter, Gilli, KESI",76
"Preslava, Aristos Constantinou",76
"Robi, Molec",76
"SIMONA",76
"The Kid LAROI, Justin Bieber",76
"Tobias Rahim",76
"Turisti",76
"Пиріг і Батіг",76
"6RB Music",75
"Adekunle Gold",75
"BIBI",75
"Blessd",75
"CHO, Idaly",75
"Freddy Kalas",75
"Geolier, Ultimo",75
"Gettomasa, Sexmane",75
"Inkonnu, Sipo",75
"Jasmin Moallem, Mergui",75
"Jung Kook, USHER",75
"Karan Aujla, Ikky, Yarah",75
"Matoma, Gabrielle, Hver gang vi møtes",75
"Msongi, Cici, Sir Trill, Dot Mega",75
"NiziU",75
"Peso Pluma, Junior H, Eslabon Armado",75
"Santhosh Narayanan, Dhvani Kailas, Vivek",75
"Shay, Niska",75
"Sin Nombre, NTG",75
"Skusta Clee, Illest Morena",75
"The Jackson 5",75
"VovaZiLvova, Morphom",75
"Wet Bed Gang",75
"Yüzyüzeyken Konuşuruz",75
"Ak4:20, Gino Mella",74
"David Guetta, Anne-Marie, Coi Leray",74
"Desi Slava, Djordan",74
"E.J",74
"Grupo Frontera, Morat",74
"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga",74
"Kygo, Zak Abel, Nile Rodgers",74
"Luqman Podolski, Tish Errda",74
"MY FIRST STORY, HYDE",74
"Merro8, Gilli",74
"YANII, Mxolisi Khumalo",74
"ekhoe, Pogány Induló",74
"МОТ",74
"BIA, Sfera Ebbasta, Fivio Foreign",73
"Belinda",73
"Bengü",73
"Beton.Hofi, Hundred Sins, laurie., Dom Beats",73
"Ellinoora",73
"Geolier, Ultimo, Takagi & Ketra",73
"Jazzy",73
"Joseph Kamel",73
"JustaTee, Phương Ly",73
"Madrigal",73
"Mc IG, MC Ryan SP, DJ Glenner, Mc Poze do Rodo, Oruam",73
"Mc IG, MC Ryan SP, Oruam, MC GH do 7, MC GP, MC Nego Micha, MC PH, Mc Luki, Mc Poze do Rodo, Murillo e LT no Beat, TrapLaudo",73
"Sami G",73
"Tananai, Annalisa",73
"Thor Farlov",73
"Windows95Man",73
"Øsen, Da Dønk Project",73
"4s Street",72
"Bengü Beker",72
"Cledos, Isac Elliot",72
"Danna, Konstantin",72
"Eva Weel Skram",72
"ISSI",72
"Jaani, Mohammad Faiz",72
"Jungle",72
"Junior Caldera",72
"KATI K, FiNCH",72
"Kubilay Karça",72
"MALIQ & D'Essentials",72
"MC Rogerinho",72
"MaqamMusic",72
"Maverick Muji, Nonny",72
"Oscar el Ruso, Samuel G, Omar Montes, Camin, Moncho Chavea, Jthyago, Samueliyo Baby",72
"Peso Pluma, Natanael Cano, Gabito Ballesteros",72
"Phan Mạnh Quỳnh",72
"Realest Cram, CK YG",72
"Roi 6/12, Evangelia",72
"Roxy Dekker, Ronnie Flex",72
"Rvfv, David Bisbal",72
"Saske",72
"Tyson Yoshi",72
"Wegh",72
"Yo Yo Honey Singh",72
"احميده البرهومي",72
"Blessd, Maluma",71
"Brray, Anuel AA, Chencho Corleone, Jhayco, Ryan Castro",71
"Bruce Springsteen",71
"Charlie Puth, Jung Kook, BTS",71
"Delarue, Morad, ElGrandeToto",71
"Dessita, Djordan",71
"Dons",71
"Eden Ben Zaken",71
"Geolier, Takagi & Ketra, Dat Boi Dee",71
"Joe L",71
"Kabza De Small, Young Stunna, Nkosazana Daughter, Mthunzi, Nokwazi, Anzo, Mashudu, Murumba Pitch, Tman Xpress",71
"L7NNON, MC Cabelinho, Palma, HHR",71
"Luan Santana, Luan Pereira",71
"Malte Ebert, Herrelandsholdet",71
"Marwan Moussa",71
"Nasboi, Wande Coal",71
"O SIDE MAFIA, BRGR, Al James",71
"Parangolé, Leo Santana",71
"Portion Boys, Kake Randelin",71
"Post Malone, Swae Lee",71
"Pritam, Arijit Singh, Swanand Kirkire, IP Singh",71
"SUPAFLY",71
"Tedua, Capo Plaza, SHUNE",71
"Umafikizolo, Umashotana",71
"Uzielito Mix, El Bogueto, Dani Flow",71
"Yaisel LM, Hansel El De La H",71
"Ameen Khattab, Essam Sasa",70
"Anirudh Ravichander, Thalapathy Vijay, Asal Kolaar",70
"Ayra Starr, Giveon",70
"Bill Withers",70
"Bloody Hawk, TOQUEL",70
"Era7capone, Batuflex, Narco",70
"Erika Isac",70
"Feid, Jhay P",70
"Jessica Shy, Free Finga",70
"Juanes",70
"Marina Satti, Lefteris Pantazis, VLOSPA, Oge, RACK, Efi Thodi, Nick Kodonas",70
"Mas Musiq, Daliwonga, DJ Maphorisa, Kabza De Small",70
"Nerieš",70
"No One Else",70
"Rio Romeo",70
"william",70
"A36",69
"Bilal Indrajaya",69
"Bulin 47",69
"DJ JOÃO PEREIRA, MC Koringa",69
"FRÖKEN SNUSK",69
"Grupo Frontera",69
"Grupo Marca Registrada, Octavio Cuadras",69
"HISTED, TXVSTERPLAYA",69
"Hariharan",69
"Ivan Greko, DIFF, Strat, BeTaf Beats, Sanko",69
"Kibariye",69
"Mohamed Ramadan, Skales",69
"RACK, BeTaf Beats, Beyond",69
"Rap La Rue, Jiyo, ilo 7araga, Aymen",69
"Robin Packalen",69
"Talwiinder",69
"Tito Double P, Neton Vega",69
"Юпи, FORTUNA 812",69
"Coez, Frah Quintale",68
"Gusttavo Lima, Hugo & Guilherme",68
"J Abdiel, Anuel AA, Blessd, iZaak, Pirlo",68
"KRISTIEE, mapt0v",68
"Karim B, Ege Zulu",68
"Karim Cristiano, Eslam Kabounga",68
"Kevin AMF, Jaque Mate, Carlos Manjarrez",68
"Kizo, Bletka, BeMelo",68
"Metro Boomin, Travis Scott, Young Thug",68
"Pam Rabbit",68
"R3load",68
"Rasmus Gozzi, FRÖKEN SNUSK",68
"Rem Digga",68
"Sin Laurent, Oge, Kidd",68
"Yung Yury, Damn Yury",68
"Zinoleesky",68
"elaggume, ECKO, Omar Varela, Fauna Music",68
"yungest Moonstar, thasup",68
"СЕРЕГА ПИРАТ",68
"Aarne, Big Baby Tape, Toxi$, Chief Keef",67
"Aerozen, FLORIS, Dani, Tussin, Lil Alex",67
"Ak4:20, J Alvarez",67
"Albin Lee Meldau",67
"Atif Aslam, Alisha Chinai, Pritam",67
"BILLA JOE, Faroon",67
"Daliwonga, Nkosazana Daughter, Happy Jazzman",67
"ElMusto, Decrat",67
"Ellice",67
"Filo, Apu",67
"Klavdia Petrivna, KAVA",67
"Lacrim",67
"Marko Damian, Viktor Sheen",67
"Murilo Huff, Gustavo Mioto",67
"Pogány Induló, ekhoe",67
"Pusher, GRACEK, Baba Hassan",67
"Rico Blanco",67
"Robi, Aerozen, Sapte",67
"Tupe., Vepu",67
"Yzomandias, P T K",67
"Zoë Badwi, Dan Slater",67
"Anne-Marie, Shania Twain",66
"Anson Lo 盧瀚霆, Kelly Chen",66
"Bossikan, Aspa",66
"Branco",66
"Chimbala",66
"ElMusto",66
"Elton John, Dua Lipa, PNAU",66
"Eze Remix, Matt Sebastian",66
"Fish Leong",66
"GroovyRoom, HUH YUNJIN, Crush",66
"Kaspiyskiy Gruz",66
"Light, Kidd",66
"Luck Ra, Chayanne",66
"Marina Maximilian, Guy Mentesh",66
"Mavi Gri",66
"Nandipha808, Ceeka RSA, LeeMcKrazy, Philharmonic",66
"Oualid, Norel, YAM",66
"Pailita",66
"Paper Planes",66
"Sanju Rathod, G-SPXRK",66
"Seyi Vibez, Bloody Civilian",66
"Traia Véia, Murilo Huff",66
"Uncle Waffles, Royal MusiQ, OHP Sage, Pcee, Djy Biza",66
"Yeri Mua, El Gudi, Oviña, Jey F, Alan Dazmel",66
"Çağan Şengül",66
"7liwa, L'morphine",65
"Billie Eilish, Khalid",65
"Blacha 2115",65
"Blaqbonez",65
"Borqy",65
"Daryl Hall & John Oates",65
"Eladio Carrion, Milo j",65
"GUF, BALLER, V $ X V PRiNCE",65
"Gloria Groove",65
"Henry Freitas, Andrezin Araújo, Dj Kevin Oficial",65
"Hiro, Irina Kairatovna",65
"HoodBlaq, Luciano",65
"Jimin, JVKE, Fast & Furious: The Fast Saga, Kodak Black, NLE Choppa, Muni Long",65
"Kabza De Small, DJ Maphorisa, Njelic, Young Stunna, Nkosazana Daughter, Xolani Guitar",65
"Lotusx",65
"Mente Fuerte, Trannos, Ramoon",65
"NUSSUN, HÚGÓ, Þormóður",65
"Nueva H, Natanael Cano",65
"RACK, Light, Beyond",65
"RACK, SIDARTA, Sin Laurent, Oge",65
"RACK, TOQUEL, Beyond",65
"Rakkere",65
"TIF",65
"Young Cister",65
"ילד.",65
"ADAAM",64
"Chris Brown, Davido, Lojay",64
"Dani Mocanu, Alex Velea",64
"Dean Lewis",64
"Djena, Djordan",64
"El Malilla, Maury",64
"Emma Steinbakken",64
"Inbal Bibi",64
"Kizo, Bletka, clearmind, papablessbeatz",64
"Lil Peep",64
"Matheus & Kauan, Mari Fernandez",64
"Oscar Maydon, Natanael Cano, Gabito Ballesteros",64
"Ovy On The Drums, Myke Towers, SAIKO",64
"Paula Biskup, Piotr Odoszewski",64
"Peso Pluma, Jasiel Nuñez",64
"Prabh Singh, Jay Trak",64
"RACK, Konstantinos Argiros, MENJU, Oge",64
"Real Boss, BIG KAY SMG",64
"Red Velvet",64
"Tobal Mj, Cris Mj, Kail BRL",64
"Øneheart, reidenshi",64
"AVA, Mida, VillaBanks",63
"Bassie, M-Touch, Ranger, Amaza, LeeMcKrazy, Tman Xpress",63
"Bryan Adams",63
"Derya Uluğ",63
"Edicti, F",63
"Filipe Ret",63
"Friðrik Dór, Herra Hnetusmjör, Steindi Jr.",63
"Hooja",63
"Lola Indigo",63
"Lou Hoàng",63
"Maanu, Annural Khalid",63
"OLGA, Isac Elliot",63
"Omar Courtz, De La Rose, Haze",63
"Richie Campbell, Van Zee, FRANKIEONTHEGUITAR",63
"Rizky Febian, Mahalini",63
"Tawsen, Ayoub Anbaoui",63
"TitoM, Yuppe, S.N.E, EeQue",63
"V:RGO, FYRE, Yoana Sashova",63
"Vibez Inc, Tml Vibez",63
"gameboy tetris, nublu",63
"mor ve ötesi",63
"高爾宣 OSN, Patrick Brasca",63
"Astrid S",62
"Douwe Bob",62
"Egor Kreed, Tenderlybae, Егорик",62
"Era7capone, NASTEISHA",62
"G-Eazy, Christoph Andersson",62
"Gala, Molella, Phil Jay",62
"Hannah Mae, MAKSIM",62
"Jaques Raupé, Felix Harrer",62
"LATIN MAFIA, Humbe",62
"Mahmoud El Leithy",62
"Nautilus Pompilius",62
"Noah Carter",62
"Rauw Alejandro, Lyanno, Brray",62
"Ryannah J, Nateman",62
"Samey",62
"Static, Adi Bity",62
"The Last Dinner Party",62
"Victoria Nadine",62
"Yorssy",62
"音田 雅則",62
"Benny Jamz, Gilli, KESI, B.O.C",61
"Boer Harm",61
"Bouss",61
"CIVO",61
"Dada, Don Bigg",61
"Daddy Yankee, Zion & Lennox",61
"Dalmata",61
"Declan McKenna",61
"Denis Ramniceanu, Babasha, Ministerul Manelelor",61
"DobleP, Pereiraremix, VERNAZ",61
"KKevin, Marics Peti",61
"Light, Destiny, KONY",61
"LilCagula, Mgk666",61
"Lost Frequencies",61
"Massimo Pericolo, Tedua",61
"Matuê, Rich The Kid",61
"PATRi!K, Daniil",61
"Parmish Verma, Paradox",61
"SHRTY, Joalin",61
"Skepta, Portable, JAE5",61
"Tessa",61
"TxC, Tony Duardo",61
"villemdrillem, Karl Killing",61
"小阿七",61
"Aditya Gadhvi, Achint",60
"Adnan Dhool",60
"AgroPlay, Luan Pereira",60
"Cledos, Etta",60
"DMT, Dangrangto, TeuYungBoy, summerdayy, Rocky CDE",60
"Eslam Shendy",60
"Faris Shafi, Umair Butt, Gharvi Group",60
"Fuerza Regida, Grupo Frontera",60
"Ivanko",60
"Karpe, Kaifi Khalil, Delara, The Quick Style",60
"Kidd Voodoo, DrefQuila, Swift 047",60
"Lower Mansion",60
"Luis R Conriquez, Joel De La P, Chimbala",60
"Moha K, Lyna Mahyem",60
"OG Buda, Toxi$",60
"Rels B, Kenia OS",60
"Sam Deep, Azana",60
"TIX, Morgan Sulele",60
"Three Man Down",60
"Tyler ICU, DJ Maphorisa, Masterpiece YVK, Ceeka RSA, M.J, Silas Africa, Al Xapo",60
"Zartmann, Drumla, Dauner",60
"Arijit Singh, Chinmayi",59
"Ava Max",59
"Azet",59
"Ballinciaga",59
"ByeAlex és a Slepp",59
"Chris Stapleton",59
"Clonnex",59
"Fares Sokar - فارس سكر, Omar Id",59
"Gradur, SDM, Rsko",59
"INSTASAMKA, Lolita",59
"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",59
"Kanye West, Chris Martin",59
"Lou Garcia, Dj Luan Gomes",59
"Megan Thee Stallion",59
"Melike Şahin",59
"Mikelodic",59
"Rawayana, Danny Ocean",59
"SIMILIVINLIFE",59
"Saixse",59
"Slade",59
"Three Man Down, feat. ออม TELExTELEXs",59
"Tony Effe, Sfera Ebbasta, Geolier",59
"Wang, Dani Gambino, Mateos Nps",59
"Wxrdie, Andree Right Hand, Machiot",59
"XXXTENTACION",59
"10CM",58
"ANI, VIIVI",58
"Anitta, DENNIS, PEDRO SAMPAIO",58
"Asake, Central Cee",58
"Ben Chen",58
"Broiler, Kamelen",58
"Dessita, SIMONA",58
"Dewa 19",58
"Irina Kairatovna, Shiza",58
"Jazeek, Milano",58
"Jonas Brothers",58
"Kaz Bałagane, DMN",58
"Korelon, Sliki",58
"MC Kevin o Chris, Dj Nk Da Serra",58
"Marstein",58
"Nandipha808, Ceeka RSA, DEMOLA",58
"Pushkin RSA, AMAQHAWE, Philharmonic",58
"Rema, Shallipopi",58
"Saske, SIDARTA",58
"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",58
"VJ, KERZA",58
"Wizzard",58
"Zoë Tauran",58
"911",57
"Anastasia, Enisa",57
"Atif Aslam",57
"Big2, Antoon, Bilal Wahib",57
"Booba",57
"Dj Jaivane, LeeMcKrazy, Skandisoul",57
"GM2L, Malik Montana, Kazior, Alberto, OLEK",57
"Jaden Bojsen",57
"Jordan Zhu",57
"Kaaris, ElGrandeToto",57
"Laddi",57
"Luciano, Niska",57
"Mata",57
"Mesita, Duki",57
"Oki, Sobel, @atutowy",57
"Omar, Tobias Rahim",57
"Peso Pluma, Estevan Plazola",57
"Peso Pluma, Kenia OS",57
"Peso Pluma, Oscar Maydon",57
"Ryan Castro, SOG",57
"SNIK, Rvchet",57
"Sachin-Jigar, Arijit Singh",57
"Saske, RACK",57
"Sexyy Red",57
"T.R.I",57
"Tucker Wetmore",57
"Victony, Babyboy AV",57
"Wang, DJ Cron, Mateos Nps",57
"Young Leosia, Jacuś",57
"Capo Plaza, Takagi & Ketra",56
"Coma_Cose",56
"Denny, Rahul Mishra, Kunaal Vermaa",56
"Eminem, JID",56
"Felo",56
"Gracie Abrams, Taylor Swift",56
"JO1",56
"Lvbel C5, AKDO",56
"Matheus Fernandes, Matheus & Kauan",56
"Nuno Ribeiro, Calema, Mariza",56
"RACK, Dani Gambino, Beyond",56
"Raiyan, Twinkle Thareja",56
"Rap La Rue, Kauta, Aymen",56
"Tato el X5, Negrette Game Over",56
"Thomas",56
"Vierra",56
"張哲瀚",56
"Baby Gang, BLANCO, Marracash",55
"Bigoblin, JeycitoLM",55
"Blacha 2115, Venom Valentino, francis",55
"Bryan Martínez",55
"Dargen D'Amico",55
"Donaty, Polojoa",55
"Duman",55
"Finesse, Shiva, Sfera Ebbasta, Guè",55
"Floni",55
"HUGO, Bee",55
"Heijan, Azer Bülbül",55
"Kidd, Onad",55
"Kontra K, SANTOS",55
"Kouz1",55
"Marcos & Belutti, Nadson O Ferinha",55
"Noa Kirel, Itay Galo",55
"Nouamane Belaiachi",55
