"artists","Count"
"Luck Ra, KHEA",827
"Feid, Yandel",823
"Anuv Jain",817
"Kelly Clarkson",816
"Los Ángeles Azules, Maria Becerra",816
"Chris Brown",815
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",806
"Bellakath, Dani Flow",805
"Marwan Pablo",801
"Natanael Cano, Oscar Maydon",801
"Natanael Cano",799
"Vishal Mishra, Raj Shekhar",796
"承桓",796
"Mahalini",795
"Stormy",791
"J Abdiel, De La Rose, Yan Block, iZaak, Jay Wheeler",785
"TV Girl",783
"Kanye West",782
"Los Temerarios",777
"Yeat",775
"KAROL G, Tiësto",765
"Dillaz",762
"Christian Nodal",761
"JID, 21 Savage, Baby Tate",761
"GIMS, Morad, SativaMusic",759
"Van Zee",756
"Emilia, TINI",755
"The Kid LAROI",750
"The Academy: Segunda Misión, Sech, Justin Quiles, Lenny Tavárez, Dalex, Dímelo Flow, Myke Towers",745
"Bruno Mars",744
"Irina Kairatovna",741
"Anuel AA, Haze",739
"FRIENDLY THUG 52 NGG",734
"Good Neighbours",734
"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",732
"Toxi$",726
"Jay Wheeler, DJ Nelson, Myke Towers",725
"Seyi Vibez",724
"Gazo, Tiakola",722
"Kali Uchis, Peso Pluma",722
"Muslim - مُسلِم",719
"Pogány Induló",717
"AYLIVA",716
"José Feliciano",714
"J. Cole",712
"Frank Ocean",710
"AUR",705
"One Direction",701
"Alvaro Diaz, Feid",696
"Bad Bunny, Bryant Myers",696
"The Killers",696
"Loreen",695
"Lay Bankz",693
"Sayian Jimmy, Nysix Music",688
"Xavi, Los Dareyes De La Sierra",688
"ICEGUYS",683
"Lithe",673
"Bad Bunny, YOVNGCHIMI",671
"Blessd, Feid",671
"Maluma",670
"Eslabon Armado, Peso Pluma",669
"Luis R Conriquez, Neton Vega",668
"Lomiiel",664
"Yandel, Feid",660
"Lyodra",656
"理想混蛋",656
"DOROFEEVA",654
"Djordan",649
"Stray Kids",649
"ibe",646
"Gobs",642
"Boza, ELENA ROSE",640
"Fleetwood Mac",640
"Mesita",636
"Favé, Gazo",632
"The Ronettes",631
"Darshan Raval",629
"FACE",629
"Jordan Adetunji",626
"Vaundy",625
"KeBlack",623
"Jimin, Loco",620
"BM",618
"Arijit Singh, Shreyas Puranik, Siddharth - Garima",617
"Kizz Daniel",617
"BARBEL",616
"JENNIE",616
"MBT",616
"Yahritza Y Su Esencia, Grupo Frontera",615
"Shallipopi",614
"Mora",610
"Henrique & Juliano",609
"Kapo",607
"Nadhif Basalamah",606
"Anggi Marito",604
"Sherine",604
"A$AP Rocky, Imogen Heap, Clams Casino",602
"Bad Bunny, Mora",601
"Karan Aujla, Ikky",601
"Udo Lindenberg, Apache 207",598
"*NSYNC",596
"Bryson Tiller",594
"Mirella",593
"Drake",591
"Duke",591
"LXNGVX",591
"Marshmello, Manuel Turizo",590
"Engel Montaz, Kuv507, Latinnites Music",589
"Rema",588
"TOQUEL",587
"STEIN27",586
"Separ, Jerry Lee, P T K",586
"Zé Neto & Cristiano",586
"Tulus",584
"Fred again.., Baby Keem",582
"Alex Warren",581
